MONTH,HOUR,WEEKDAY,SEASON,TEMPERATURE,RAINFALL,WINDSPEED,HUMLDITY,SNOWFALL,RENTCOUNT
1,14,3,3,-2.8,0.0,1.4,30.0,11.2,0.0
1,15,3,3,-2.0,0.0,2.3,29.0,11.1,2.0
1,16,3,3,-1.9,0.0,1.7,31.0,11.1,0.0
1,17,3,3,-3.5,0.0,2.8,34.0,11.1,0.0
1,18,3,3,-4.8,0.0,1.4,39.0,11.1,0.0
1,19,3,3,-5.9,0.0,0.3,42.0,11.1,0.0
1,20,3,3,-6.7,0.0,1.1,47.0,11.1,0.0
1,21,3,3,-7.3,0.0,0.9,50.0,11.1,0.0
1,22,3,3,-8.2,0.0,0.2,54.0,11.1,0.0
1,23,3,3,-9.1,0.0,0.3,62.0,11.1,0.0
1,0,4,3,-9.8,0.0,0.7,67.0,11.1,0.0
1,1,4,3,-10.4,0.0,0.2,69.0,11.1,0.0
1,2,4,3,-11.0,0.0,0.8,75.0,11.1,0.0
1,3,4,3,-11.4,0.0,0.9,78.0,11.1,0.0
1,4,4,3,-11.5,0.0,0.4,80.0,11.1,0.0
1,5,4,3,-12.3,0.0,0.9,82.0,11.1,0.0
1,6,4,3,-12.6,0.0,0.5,83.0,11.1,0.0
1,7,4,3,-12.5,0.0,0.7,84.0,11.1,0.0
1,8,4,3,-12.5,0.0,0.9,86.0,11.1,0.0
1,9,4,3,-11.0,0.0,1.1,80.0,11.1,0.0
1,10,4,3,-7.8,0.0,0.4,70.0,11.1,0.0
1,11,4,3,-4.3,0.0,0.4,60.0,11.1,0.0
1,12,4,3,-1.7,0.0,0.8,53.0,11.0,0.0
1,13,4,3,0.6,0.0,1.4,54.0,10.9,0.0
1,14,4,3,1.4,0.0,1.4,52.0,10.8,0.0
1,15,4,3,1.7,0.0,1.5,54.0,10.7,0.0
1,16,4,3,1.2,0.0,1.0,53.0,10.6,0.0
1,17,4,3,0.3,0.0,1.1,57.0,10.6,0.0
1,18,4,3,-0.7,0.0,1.1,60.0,10.6,0.0
1,19,4,3,-1.3,0.0,0.3,63.0,10.6,0.0
1,20,4,3,-2.0,0.0,0.4,66.0,10.6,0.0
1,21,4,3,-2.8,0.0,1.1,73.0,10.6,0.0
1,22,4,3,-3.2,0.0,0.5,73.0,10.6,0.0
1,23,4,3,-3.3,0.0,0.4,77.0,10.6,0.0
1,0,5,3,-3.9,0.0,0.2,79.0,10.6,0.0
1,1,5,3,-4.2,0.0,0.4,81.0,10.6,0.0
1,2,5,3,-5.2,0.0,0.5,84.0,10.6,0.0
1,3,5,3,-5.2,0.0,0.6,85.0,10.6,0.0
1,4,5,3,-5.7,0.0,0.5,87.0,10.6,0.0
